timestamp_query,distance_query,angle_query,timestamp_gallery,distance_gallery,angle_gallery
1604043509.915555,48.48951721191406,-59.262107849121094,1604043510.075629,50,-56.0357666015625
1604043511.192196,46.9334602355957,-60.88542556762695,1604043511.291669,49,-58.359375
1604043512.234586,45.536376953125,-64.04805755615234,1604043512.273846,48,-60.369873046875
1604043513.235786,44.46207809448242,-66.91633605957031,1604043513.282857,46,-62.808837890625
1604043514.893469,42.28892135620117,-70.11566162109375,1604043514.884653,44,-66.7529296875
1604043515.922284,41.37134552001953,-73.25949096679688,1604043515.875414,42,-69.1259765625
1604043517.015212,40.637962341308594,-76.09591674804688,1604043517.087818,42,-71.8121337890625
1604044017.793748,384.41943359375,-5.9082350730896,1604044017.689216,389,-4.3560791015625
1604044022.606061,381.6379699707031,-6.774176597595215,1604044022.680943,386,-5.2789306640625
1604044032.297708,369.3206787109375,-3.964322566986084,1604044032.273931,374,-2.3895263671875
1604044037.062925,360.6424865722656,-2.3913848400115967,1604044037.097234,366,-0.9063720703125
1604044041.521288,349.1510925292969,-1.0770630836486816,1604044041.465249,355,0.3955078125
1604044042.78593,347.1661682128906,-0.6196461915969849,1604044042.691618,352,0.7855224609375
1604044044.014888,343.8557434082031,-0.2480134516954422,1604044044.09759,347,1.3128662109375
1604044046.571369,336.95135498046875,0.03272276371717453,1604044046.492964,342,1.6094970703125
1604044048.701634,331.17718505859375,0.9445992112159729,1604044048.713085,335,2.6422119140625
1604044051.262192,326.0784912109375,1.96002995967865,1604044051.267024,331,3.570556640625
1604044052.496609,323.7418212890625,2.375225782394409,1604044052.500532,328,3.8232421875
1604044053.591643,321.32763671875,2.747556209564209,1604044053.665722,324,4.2242431640625
1604044054.668345,318.5224914550781,2.793156623840332,1604044054.689491,322,4.3450927734375
1604044055.798701,317.9603576660156,3.1664178371429443,1604044055.701302,321,4.5977783203125
1604044056.953502,315.9523620605469,3.0107827186584473,1604044056.864635,321,4.5538330078125
1604044058.052061,314.3746032714844,3.3251640796661377,1604044058.084471,318,4.866943359375
1604044059.293066,312.2464599609375,3.242602586746216,1604044059.300101,316,4.6197509765625
1604044060.349681,310.59808349609375,2.8561511039733887,1604044060.26484,314,4.3890380859375
1604044061.555867,310.0076599121094,2.9400906562805176,1604044061.482982,313,4.4989013671875
1604044062.749308,307.74749755859375,2.5384414196014404,1604044062.670538,311,4.0484619140625
1604044063.751151,306.85107421875,2.5067756175994873,1604044063.667121,309,3.944091796875
1604044064.7528,305.89599609375,2.2784204483032227,1604044064.673804,309,3.84521484375
1604044065.758991,304.7037048339844,2.0241360664367676,1604044065.708864,309,3.526611328125
1604044066.877544,303.7525329589844,1.7421211004257202,1604044066.887024,309,3.0816650390625
1604044068.050925,302.44842529296875,1.1935391426086426,1604044068.087526,306,2.7081298828125
1604044069.087208,302.2370910644531,1.0939185619354248,1604044069.095427,305,2.5872802734375
1604044070.150591,301.3129577636719,0.8820573687553406,1604044070.065081,304,2.2686767578125
1604044071.253925,299.6942443847656,0.2586352825164795,1604044071.27247,304,1.7852783203125
1604044072.25464,299.9834899902344,0.22221995890140533,1604044072.265719,304,1.5875244140625
1604044073.350758,299.0577392578125,-0.5535853505134583,1604044073.270084,302,0.9283447265625
1604044074.352258,297.84527587890625,-1.0975717306137085,1604044074.292024,302,0.50537109375
1604044075.384431,297.567138671875,-0.9916814565658569,1604044075.467044,301,0.3900146484375
1604044076.48308,297.526123046875,-1.6706633567810059,1604044076.488307,301,-0.2581787109375
1604044077.652242,296.5309753417969,-2.4810879230499268,1604044077.664427,300,-0.966796875
1604044078.74944,296.27764892578125,-2.55635404586792,1604044078.666336,299,-1.12060546875
1604044079.76366,295.3547058105469,-2.7222635746002197,1604044079.715574,299,-1.1590576171875
1604044080.851363,294.9188537597656,-2.6740634441375732,1604044080.904577,299,-1.1590576171875
1604044082.150623,294.6925048828125,-2.5445969104766846,1604044082.064817,298,-1.0491943359375
1604044083.163841,294.2801818847656,-2.2527122497558594,1604044083.082228,298,-0.7470703125
1604044084.262444,293.9258728027344,-2.0081369876861572,1604044084.285655,297,-0.3900146484375
1604044085.349249,293.30377197265625,-1.4345166683197021,1604044085.265362,297,0.1483154296875
1604044086.349551,293.87353515625,-0.9906860589981079,1604044086.270612,297,0.626220703125
1604044087.35066,293.69061279296875,-1.0090255737304688,1604044087.294176,297,0.615234375
1604044088.351407,292.48944091796875,-0.4841773808002472,1604044088.289225,296,1.07666015625
1604044089.450506,292.4784240722656,0.06363395601511002,1604044089.489741,295,1.494140625
1604044090.452871,292.2088623046875,-0.001156314741820097,1604044090.520292,296,1.3897705078125
1604044091.469444,292.23388671875,-0.3312530815601349,1604044091.472217,295,1.1700439453125
1604044092.551554,291.8385314941406,-0.4781768321990967,1604044092.48333,295,1.0986328125
1604044093.658085,291.5530700683594,-0.2906947135925293,1604044093.683585,295,1.0821533203125
1604044094.752061,291.5107727050781,-0.7619344592094421,1604044094.665613,294,0.670166015625
1604044095.769313,290.94378662109375,-1.3491982221603394,1604044095.690416,294,0.10986328125
1604044096.849774,290.49066162109375,-1.5691893100738525,1604044096.882868,293,-0.0714111328125
1604044098.2555,290.04510498046875,-1.955785870552063,1604044098.289578,294,-0.4833984375
1604044099.261619,289.80572509765625,-2.2087724208831787,1604044099.288744,293,-0.736083984375
1604044100.477717,289.87152099609375,-2.6710824966430664,1604044100.494059,293,-1.241455078125
1604044101.590201,288.901123046875,-3.118387460708618,1604044101.664647,293,-1.60400390625
1604044102.65656,289.1387939453125,-3.3179163932800293,1604044102.664814,292,-1.7413330078125
